Jugador;Equipo;Liga;Edad;Demarcación;Minutos jugados;PJ;Goles;Asistencias;Goles esperados;Asistencias esperadas;Remates;Remates a puerta;Pases clave;Precisión pases;Pases progresivos;Conducciones progresivas;Regates completados;Centros acertados;Toques en área;Duelos aéreos ganados;% duelos aéreos;% duelos;Entradas ganadas;Intercepciones;Recuperaciones;Despejes;Bloqueos;Faltas cometidas;Tarjetas amarillas;Tarjetas rojas;Paradas;Goles encajados;Porterías a cero;Salidas;Valor de mercado
Lunvic Hence;Silrin FC;LaLiga Hypermotion;23;Extremo izquierdo;1471;19;1;1;2.02;1.11;41.0;20.0;4.0;74.1;59.0;29.0;29.0;14.0;52.0;37.0;37.2;43.1;23.0;21.0;126.0;61.0;12.0;22.0;7;0;;;;;1231383
Dansen Arju;Silrin FC;LaLiga Hypermotion;22;Lateral derecho;1964;32;0;0;3.63;1.73;24.0;4.0;47.0;76.6;178.0;14.0;6.0;26.0;22.0;75.0;62.8;57.1;52.0;64.0;236.0;38.0;25.0;17.0;0;0;;;;;12451090
Arez Golrin;Silrin FC;LaLiga Hypermotion;19;Pivote;1122;19;0;0;1.14;1.94;8.0;1.0;17.0;89.7;64.0;43.0;26.0;10.0;8.0;8.0;64.6;57.7;23.0;27.0;107.0;37.0;9.0;15.0;3;0;;;;;6578582
Elitov Arlan;Silrin FC;LaLiga Hypermotion;17;DC;517;9;0;0;0.3;0.96;4.0;1.0;10.0;80.6;46.0;21.0;8.0;1.0;25.0;9.0;57.1;44.3;8.0;15.0;33.0;3.0;1.0;5.0;6;0;;;;;5185460
Artov Eliba;Silrin FC;LaLiga Hypermotion;19;Mediapunta;1964;27;2;0;2.45;2.58;95.0;31.0;45.0;81.7;122.0;71.0;7.0;1.0;79.0;25.0;37.5;61.9;25.0;59.0;165.0;66.0;24.0;14.0;6;0;;;;;5786865
Lunju Golez;Silrin FC;LaLiga Hypermotion;26;Lateral derecho;2181;27;2;0;0.3;3.05;35.0;10.0;23.0;82.1;201.0;66.0;12.0;5.0;57.0;24.0;35.9;42.6;55.0;55.0;95.0;44.0;20.0;52.0;5;0;;;;;2579230
Lunez Ostrin;Silrin FC;LaLiga Hypermotion;30;DC;2161;38;0;1;3.15;0.65;33.0;8.0;13.0;79.4;67.0;124.0;72.0;24.0;77.0;30.0;60.7;48.3;45.0;60.0;252.0;85.0;5.0;21.0;2;0;;;;;9074972
Henos Silmir;Silrin FC;LaLiga Hypermotion;26;DC;2721;30;2;3;1.1;2.56;19.0;6.0;49.0;66.2;87.0;41.0;95.0;16.0;40.0;71.0;55.1;60.7;41.0;37.0;158.0;33.0;21.0;56.0;0;1;;;;;3982234
Belhus Farnen;Silrin FC;LaLiga Hypermotion;22;Mediapunta;897;12;1;0;1.38;1.14;13.0;6.0;9.0;70.9;35.0;10.0;16.0;13.0;52.0;23.0;56.7;45.0;5.0;10.0;69.0;33.0;9.0;13.0;7;0;;;;;11410156
Pragio Arnen;Silrin FC;LaLiga Hypermotion;23;Mediapunta;1654;20;8;5;8.14;5.1;20.0;7.0;28.0;72.0;57.0;96.0;39.0;8.0;9.0;13.0;42.1;47.6;36.0;50.0;148.0;57.0;10.0;31.0;9;0;;;;;26559926
Lunba Eliez;Silrin FC;LaLiga Hypermotion;24;Extremo izquierdo;2516;35;4;2;4.32;2.59;72.0;25.0;15.0;91.2;157.0;66.0;8.0;17.0;88.0;46.0;36.0;57.9;51.0;44.0;137.0;46.0;21.0;55.0;3;0;;;;;1993371
Jorgio Torba;Lunpel FC;LaLiga Hypermotion;20;POR;743;13;0;0;;;;;11.0;65.6;24.0;33.0;15.0;5.0;20.0;9.0;58.2;50.7;21.0;16.0;61.0;9.0;3.0;13.0;9;0;25.0;11.0;1.0;3.0;7926979
Eliju Elihus;Lunpel FC;LaLiga Hypermotion;26;POR;527;9;0;0;;;;;5.0;67.3;42.0;10.0;9.0;4.0;29.0;23.0;44.5;65.5;5.0;12.0;59.0;12.0;6.0;6.0;5;0;24.0;11.0;1.0;6.0;5716220
Argio Coros;Lunpel FC;LaLiga Hypermotion;19;Delantero centro;2267;38;4;3;4.39;2.9;60.0;16.0;12.0;73.9;120.0;74.0;32.0;17.0;91.0;49.0;48.4;51.3;30.0;21.0;210.0;8.0;21.0;28.0;2;0;;;;;2004387
Dannen Quiju;Lunpel FC;LaLiga Hypermotion;27;DC;415;7;0;0;0.74;0.38;8.0;1.0;8.0;81.3;41.0;13.0;1.0;7.0;14.0;17.0;45.6;60.6;8.0;6.0;23.0;18.0;2.0;10.0;3;0;;;;;4200596
Sillan Nevsen;Lunpel FC;LaLiga Hypermotion;21;Lateral derecho;2871;47;4;4;0.48;1.25;22.0;8.0;73.0;73.2;259.0;83.0;55.0;8.0;20.0;76.0;65.0;56.0;45.0;26.0;282.0;66.0;35.0;50.0;0;2;;;;;20903262
Quios Ivakov;Lunpel FC;LaLiga Hypermotion;22;Delantero centro;1399;20;1;0;1.32;1.34;37.0;12.0;18.0;82.0;97.0;55.0;21.0;16.0;85.0;43.0;65.6;55.8;20.0;26.0;126.0;34.0;17.0;29.0;7;0;;;;;686794
Henzar Belmir;Lunpel FC;LaLiga Hypermotion;22;DC;1766;24;1;0;1.39;4.66;18.0;8.0;23.0;84.1;74.0;27.0;36.0;14.0;104.0;73.0;46.0;64.2;16.0;28.0;84.0;29.0;8.0;13.0;8;0;;;;;2508534
Roszar Kalos;Lunpel FC;LaLiga Hypermotion;22;Lateral derecho;1708;19;1;3;3.3;0.57;27.0;5.0;26.0;90.4;55.0;56.0;41.0;27.0;91.0;68.0;54.7;47.0;56.0;66.0;116.0;27.0;4.0;41.0;9;0;;;;;14523841
Ivavic Kaltov;Lunpel FC;LaLiga Hypermotion;21;Lateral derecho;2114;24;1;0;0.83;2.72;6.0;2.0;38.0;64.9;170.0;28.0;44.0;16.0;85.0;45.0;31.3;62.1;24.0;58.0;215.0;10.0;7.0;41.0;3;0;;;;;8981241
Kalba Torba;Lunpel FC;LaLiga Hypermotion;27;MC;2262;40;0;1;2.24;3.52;30.0;10.0;33.0;68.5;57.0;81.0;10.0;9.0;111.0;100.0;47.8;63.0;50.0;36.0;131.0;61.0;16.0;33.0;3;0;;;;;2367720
Quiba Rosos;Lunpel FC;LaLiga Hypermotion;31;Extremo izquierdo;1088;13;4;2;3.59;2.05;20.0;7.0;13.0;64.9;54.0;48.0;10.0;6.0;41.0;39.0;31.0;65.6;27.0;14.0;44.0;13.0;5.0;13.0;4;0;;;;;5497331
Farvic Kallan;Lunpel FC;LaLiga Hypermotion;23;Mediapunta;1014;13;5;1;6.13;2.58;43.0;15.0;8.0;71.9;126.0;60.0;12.0;4.0;42.0;8.0;47.7;67.0;10.0;35.0;132.0;9.0;8.0;5.0;9;0;;;;;23215183
Quiju Kallan;Lunpel FC;LaLiga Hypermotion;24;MC;1790;30;0;0;0.5;2.81;29.0;10.0;7.0;81.4;97.0;13.0;5.0;19.0;14.0;21.0;51.2;55.2;20.0;15.0;53.0;26.0;14.0;24.0;7;0;;;;;439034
Torsen Henba;Lunpel FC;LaLiga Hypermotion;23;Delantero centro;2714;32;3;2;2.88;1.2;121.0;64.0;51.0;72.6;116.0;52.0;42.0;26.0;107.0;23.0;35.1;43.8;28.0;41.0;252.0;46.0;26.0;59.0;0;0;;;;;4324989
Belvic Beldin;Lunpel FC;LaLiga Hypermotion;24;MC;1303;18;0;0;0.55;2.53;24.0;6.0;9.0;67.4;74.0;13.0;13.0;21.0;41.0;39.0;53.6;48.6;9.0;18.0;63.0;43.0;2.0;22.0;5;0;;;;;180209
Coric Arba;Lunpel FC;LaLiga Hypermotion;21;Pivote;2353;41;0;1;3.43;1.58;22.0;8.0;35.0;90.1;122.0;12.0;40.0;24.0;130.0;90.0;47.7;51.9;37.0;39.0;192.0;6.0;14.0;55.0;0;0;;;;;973370
Ostju Rosju;Lunpel FC;LaLiga Hypermotion;26;Extremo izquierdo;556;9;0;0;0.14;0.08;12.0;5.0;6.0;79.7;29.0;2.0;2.0;9.0;19.0;3.0;55.5;52.6;9.0;7.0;36.0;23.0;4.0;12.0;8;0;;;;;144857
Golrin Corez;Lunpel FC;LaLiga Hypermotion;21;DC;2423;32;0;1;2.41;2.24;25.0;11.0;41.0;79.3;196.0;32.0;59.0;21.0;57.0;52.0;41.6;64.2;19.0;53.0;317.0;13.0;32.0;14.0;6;0;;;;;7389093
Belos Fartov;Lunpel FC;LaLiga Hypermotion;27;Delantero centro;1169;13;1;0;1.0;0.85;45.0;22.0;7.0;83.0;33.0;30.0;6.0;4.0;17.0;40.0;32.7;50.6;24.0;6.0;54.0;7.0;12.0;22.0;2;0;;;;;516364
Lunkov Henic;Lunpel FC;LaLiga Hypermotion;22;Mediapunta;964;10;1;1;1.3;0.91;21.0;10.0;5.0;63.8;50.0;30.0;1.0;9.0;53.0;10.0;33.3;59.6;8.0;13.0;68.0;11.0;10.0;12.0;9;0;;;;;1075258
Osttov Golfal;Lunpel FC;LaLiga Hypermotion;21;Mediapunta;2586;36;8;7;10.84;3.57;29.0;14.0;50.0;80.8;143.0;153.0;32.0;7.0;115.0;70.0;41.6;60.9;81.0;43.0;159.0;57.0;5.0;16.0;3;0;;;;;24439805
Kalvic Ostgio;Lunpel FC;LaLiga Hypermotion;30;Extremo izquierdo;748;9;2;1;2.14;0.76;13.0;4.0;2.0;81.3;45.0;11.0;6.0;2.0;9.0;29.0;66.1;48.9;11.0;6.0;52.0;18.0;10.0;3.0;8;0;;;;;2696042
Elitov Quihus;Jorba FC;LaLiga Hypermotion;23;POR;469;6;0;0;;;;;2.0;94.1;46.0;24.0;7.0;6.0;18.0;9.0;68.1;53.9;10.0;6.0;37.0;14.0;2.0;6.0;6;0;14.0;6.0;0.0;4.0;6268633
Golzar Rosju;Jorba FC;LaLiga Hypermotion;30;POR;2824;39;0;0;;;;;64.0;83.5;231.0;152.0;71.0;9.0;176.0;125.0;45.3;59.6;96.0;25.0;210.0;126.0;37.0;29.0;4;0;106.0;45.0;15.0;35.0;16006022
Morkov Cormir;Jorba FC;LaLiga Hypermotion;20;Extremo izquierdo;1770;30;6;3;6.55;2.16;27.0;12.0;37.0;80.1;60.0;115.0;23.0;26.0;81.0;57.0;45.5;44.6;47.0;26.0;96.0;4.0;7.0;16.0;0;0;;;;;19406474
Nevce Ivaos;Jorba FC;LaLiga Hypermotion;20;Pivote;394;5;0;0;0.59;1.05;5.0;1.0;5.0;88.8;9.0;5.0;2.0;7.0;9.0;17.0;44.6;49.6;6.0;9.0;35.0;11.0;1.0;7.0;5;1;;;;;2773027
Pralan Morpel;Jorba FC;LaLiga Hypermotion;22;Extremo izquierdo;1489;19;12;5;10.69;5.37;73.0;31.0;20.0;67.3;140.0;78.0;35.0;13.0;42.0;48.0;56.5;65.0;35.0;17.0;101.0;45.0;16.0;22.0;8;0;;;;;34690469
Elisen Henvic;Jorba FC;LaLiga Hypermotion;22;Pivote;1293;15;0;0;2.13;2.25;23.0;7.0;16.0;64.5;49.0;15.0;1.0;6.0;12.0;24.0;39.1;52.0;20.0;13.0;50.0;25.0;14.0;14.0;4;0;;;;;58400
Ostgio Farhus;Jorba FC;LaLiga Hypermotion;24;Extremo izquierdo;2550;34;8;6;10.72;6.1;108.0;37.0;46.0;70.9;171.0;57.0;63.0;37.0;34.0;29.0;39.5;51.4;69.0;27.0;262.0;81.0;28.0;35.0;8;0;;;;;6680695
Arnen Nevic;Jorba FC;LaLiga Hypermotion;29;Delantero centro;1683;26;10;3;10.44;9.05;23.0;10.0;37.0;90.6;129.0;86.0;23.0;18.0;84.0;52.0;44.8;53.0;57.0;36.0;136.0;34.0;6.0;22.0;2;0;;;;;4379899
Lunba Rosrin;Jorba FC;LaLiga Hypermotion;17;Mediapunta;2102;23;15;8;15.86;6.5;43.0;21.0;40.0;90.4;208.0;55.0;93.0;5.0;10.0;48.0;60.4;66.1;72.0;32.0;192.0;88.0;11.0;27.0;2;0;;;;;36965179
Arsen Ardin;Jorba FC;LaLiga Hypermotion;26;MC;1229;21;0;1;1.05;3.03;4.0;1.0;6.0;80.6;35.0;44.0;38.0;9.0;27.0;31.0;34.8;47.6;13.0;33.0;72.0;37.0;16.0;22.0;3;0;;;;;1940024
Arkov Belkov;Jorba FC;LaLiga Hypermotion;17;Mediapunta;1435;18;4;2;3.95;1.58;66.0;27.0;24.0;80.2;96.0;75.0;5.0;13.0;59.0;20.0;53.4;52.8;35.0;47.0;91.0;59.0;2.0;34.0;8;0;;;;;7030353
Eliju Jorkov;Jorba FC;LaLiga Hypermotion;18;Extremo izquierdo;1373;15;7;2;7.47;5.68;37.0;12.0;34.0;80.0;48.0;39.0;9.0;19.0;65.0;34.0;34.4;50.7;42.0;44.0;86.0;18.0;14.0;32.0;6;0;;;;;5794949
Silzar Lunsen;Jorba FC;LaLiga Hypermotion;21;MC;2755;47;2;2;2.37;4.42;22.0;4.0;43.0;81.7;227.0;78.0;66.0;43.0;38.0;44.0;51.5;46.6;66.0;53.0;218.0;74.0;29.0;26.0;3;0;;;;;7195769
Goldin Lunba;Jorba FC;LaLiga Hypermotion;21;Extremo izquierdo;1240;19;5;4;6.43;2.37;45.0;21.0;32.0;68.3;117.0;14.0;8.0;6.0;57.0;47.0;32.0;58.6;32.0;35.0;156.0;3.0;3.0;27.0;4;0;;;;;6760227
Corzar Ivagio;Jorba FC;LaLiga Hypermotion;20;Pivote;703;9;0;0;0.68;1.69;11.0;4.0;4.0;66.5;55.0;17.0;2.0;6.0;6.0;13.0;49.8;58.6;6.0;17.0;46.0;19.0;3.0;6.0;4;0;;;;;2923730
Arhus Elivic;Jorba FC;LaLiga Hypermotion;18;Pivote;1439;16;0;0;1.46;1.13;5.0;1.0;18.0;88.9;92.0;83.0;52.0;1.0;49.0;61.0;67.7;67.2;24.0;36.0;150.0;22.0;12.0;18.0;8;0;;;;;6981732
Arlan Osttov;Jorba FC;LaLiga Hypermotion;29;Delantero centro;1070;15;3;2;3.36;2.39;53.0;27.0;22.0;87.5;97.0;39.0;28.0;1.0;35.0;35.0;69.0;49.5;11.0;9.0;99.0;5.0;8.0;8.0;7;0;;;;;11200360
Mormir Jorpel;Jorba FC;LaLiga Hypermotion;27;Lateral derecho;1528;23;2;2;2.95;1.14;20.0;8.0;27.0;77.5;164.0;70.0;22.0;25.0;36.0;37.0;68.1;52.9;33.0;65.0;222.0;28.0;5.0;33.0;6;0;;;;;20716925
Ivakov Silce;Jorba FC;LaLiga Hypermotion;27;Mediapunta;2634;41;11;6;14.81;9.42;60.0;20.0;39.0;86.8;324.0;82.0;95.0;43.0;113.0;13.0;67.8;45.9;25.0;61.0;295.0;9.0;35.0;12.0;1;0;;;;;18371744
Quiba Kalmir;Jorba FC;LaLiga Hypermotion;28;Pivote;1369;20;0;0;1.74;1.47;9.0;3.0;3.0;89.1;84.0;21.0;10.0;20.0;50.0;26.0;50.7;46.2;13.0;15.0;137.0;8.0;16.0;17.0;6;0;;;;;3917434
Lunba Farju;Jorba FC;LaLiga Hypermotion;24;Mediapunta;1960;26;2;1;2.34;1.88;91.0;24.0;15.0;87.1;101.0;54.0;18.0;14.0;28.0;80.0;42.4;51.9;9.0;29.0;110.0;47.0;9.0;21.0;1;1;;;;;1287651
Golic Golhus;Jorba FC;LaLiga Hypermotion;23;Lateral derecho;1647;24;2;2;3.04;2.69;30.0;8.0;51.0;89.8;144.0;123.0;49.0;19.0;36.0;49.0;68.1;51.0;18.0;16.0;166.0;69.0;21.0;39.0;8;1;;;;;9874734
Danic Nevez;Lunnen FC;LaLiga Hypermotion;25;POR;1811;31;0;0;;;;;42.0;87.2;152.0;45.0;53.0;4.0;90.0;35.0;64.3;52.3;24.0;31.0;195.0;18.0;13.0;29.0;4;0;82.0;36.0;4.0;5.0;4088873
Rossen Golvic;Lunnen FC;LaLiga Hypermotion;24;POR;365;4;0;0;;;;;5.0;69.5;20.0;13.0;7.0;1.0;20.0;2.0;58.3;63.6;8.0;6.0;28.0;3.0;2.0;7.0;1;0;11.0;8.0;1.0;5.0;3200267
Elice Pradin;Lunnen FC;LaLiga Hypermotion;29;Delantero centro;1246;15;1;0;1.32;0.69;58.0;26.0;6.0;77.8;73.0;47.0;23.0;10.0;47.0;48.0;56.4;43.0;24.0;18.0;100.0;53.0;10.0;25.0;7;0;;;;;949466
Silpel Silez;Lunnen FC;LaLiga Hypermotion;28;Delantero centro;1801;22;5;4;6.0;2.5;27.0;12.0;23.0;77.8;120.0;93.0;18.0;1.0;47.0;9.0;33.2;43.8;9.0;42.0;116.0;7.0;10.0;12.0;3;0;;;;;1775288
Quiba Tortov;Lunnen FC;LaLiga Hypermotion;19;MC;1784;21;1;2;1.33;3.33;12.0;3.0;30.0;95.2;50.0;104.0;7.0;20.0;100.0;39.0;62.6;52.0;43.0;26.0;140.0;48.0;8.0;36.0;1;0;;;;;22354345
Morba Henlan;Lunnen FC;LaLiga Hypermotion;23;Delantero centro;793;10;2;1;2.75;0.9;12.0;3.0;9.0;78.6;65.0;5.0;19.0;4.0;21.0;30.0;38.8;45.5;13.0;8.0;49.0;16.0;3.0;4.0;6;0;;;;;5364712
Torkov Nevhus;Lunnen FC;LaLiga Hypermotion;31;MC;1698;27;0;0;1.49;1.56;4.0;1.0;17.0;90.1;115.0;67.0;33.0;7.0;14.0;73.0;41.5;56.6;20.0;22.0;205.0;26.0;5.0;26.0;1;0;;;;;9441371
Farfal Ostfal;Lunnen FC;LaLiga Hypermotion;20;Lateral derecho;1225;14;1;1;0.93;3.19;20.0;6.0;10.0;80.1;26.0;72.0;24.0;10.0;42.0;16.0;61.6;47.8;10.0;10.0;132.0;52.0;10.0;10.0;7;0;;;;;4945446
Henic Torlan;Lunnen FC;LaLiga Hypermotion;31;DC;1940;27;1;1;1.3;2.33;32.0;9.0;16.0;70.0;53.0;93.0;5.0;15.0;82.0;31.0;62.2;53.4;34.0;64.0;212.0;31.0;26.0;21.0;3;0;;;;;5389062
Tortov Eliic;Lunnen FC;LaLiga Hypermotion;26;Delantero centro;1640;21;4;2;5.02;2.08;77.0;34.0;24.0;82.3;86.0;39.0;26.0;14.0;78.0;58.0;67.8;42.6;28.0;46.0;105.0;30.0;11.0;25.0;4;0;;;;;2244109
Moric Silos;Lunnen FC;LaLiga Hypermotion;23;DC;2116;23;2;1;2.27;1.55;22.0;6.0;47.0;91.2;164.0;32.0;35.0;34.0;90.0;38.0;46.8;54.6;23.0;26.0;229.0;46.0;5.0;47.0;7;0;;;;;6064856
Corba Henlan;Lunnen FC;LaLiga Hypermotion;20;Delantero centro;2054;24;2;1;2.24;1.08;75.0;31.0;30.0;78.4;51.0;14.0;18.0;23.0;68.0;25.0;56.3;61.7;24.0;46.0;133.0;17.0;20.0;40.0;3;0;;;;;3625714
Belzar Arlan;Lunnen FC;LaLiga Hypermotion;31;Extremo izquierdo;1530;20;5;3;4.82;2.42;22.0;8.0;13.0;80.4;132.0;61.0;39.0;7.0;34.0;56.0;64.6;52.0;24.0;46.0;98.0;4.0;8.0;23.0;9;0;;;;;5065847
Danpel Quice;Lunnen FC;LaLiga Hypermotion;30;MC;1981;27;1;0;1.77;1.03;16.0;6.0;24.0;89.3;45.0;49.0;8.0;29.0;40.0;83.0;44.1;64.1;47.0;44.0;69.0;13.0;26.0;45.0;9;0;;;;;2023724
Nevlan Golgio;Lunnen FC;LaLiga Hypermotion;26;Pivote;1049;14;0;0;0.97;1.31;13.0;5.0;11.0;68.4;43.0;17.0;22.0;8.0;53.0;46.0;41.0;61.2;7.0;25.0;97.0;25.0;7.0;21.0;2;0;;;;;1766955
Elikov Corrin;Lunnen FC;LaLiga Hypermotion;25;Delantero centro;2012;24;7;5;7.82;2.74;43.0;17.0;25.0;91.1;72.0;71.0;42.0;23.0;45.0;54.0;66.0;46.5;60.0;66.0;162.0;27.0;27.0;41.0;1;0;;;;;6356767
Elizar Lunfal;Lunnen FC;LaLiga Hypermotion;29;Mediapunta;1831;22;6;2;6.36;4.14;55.0;27.0;37.0;91.2;79.0;42.0;33.0;8.0;68.0;19.0;48.3;64.0;35.0;30.0;193.0;75.0;13.0;16.0;5;0;;;;;3065272
Lunrin Morvic;Lunnen FC;LaLiga Hypermotion;25;MC;1658;27;0;1;3.0;3.6;19.0;4.0;26.0;67.6;93.0;17.0;47.0;18.0;101.0;29.0;33.8;53.3;27.0;27.0;92.0;5.0;16.0;14.0;0;1;;;;;3200267
Nevez Farju;Lunnen FC;LaLiga Hypermotion;19;Lateral derecho;1277;16;0;0;0.37;2.23;16.0;4.0;24.0;84.7;82.0;11.0;21.0;17.0;49.0;52.0;64.4;52.2;32.0;14.0;80.0;50.0;8.0;17.0;2;0;;;;;6340537
Quifal Prarin;Lunnen FC;LaLiga Hypermotion;26;DC;1619;26;1;0;1.25;1.54;12.0;4.0;33.0;75.5;89.0;88.0;12.0;14.0;32.0;60.0;62.6;63.7;18.0;41.0;145.0;69.0;14.0;39.0;8;1;;;;;11608995
Nevju Golpel;Lunnen FC;LaLiga Hypermotion;26;Lateral derecho;752;9;0;0;0.92;1.14;2.0;0.0;5.0;77.7;52.0;8.0;1.0;12.0;49.0;14.0;62.9;55.5;3.0;11.0;42.0;25.0;3.0;17.0;0;0;;;;;450486
Torba Belmir;Lunnen FC;LaLiga Hypermotion;21;Lateral derecho;760;8;0;0;1.48;1.39;2.0;0.0;4.0;75.2;55.0;21.0;14.0;7.0;2.0;14.0;51.2;41.0;11.0;6.0;25.0;26.0;7.0;13.0;0;0;;;;;3084624
Belic Arrin;Elimir FC;LaLiga Hypermotion;31;POR;2462;31;0;0;;;;;11.0;78.6;57.0;119.0;64.0;6.0;34.0;87.0;43.2;51.3;57.0;45.0;125.0;79.0;13.0;36.0;9;1;90.0;25.0;7.0;27.0;1851842
Torrin Belrin;Elimir FC;LaLiga Hypermotion;26;POR;831;9;0;0;;;;;18.0;65.8;41.0;30.0;21.0;10.0;39.0;18.0;43.5;42.1;15.0;18.0;50.0;18.0;1.0;16.0;8;0;24.0;19.0;3.0;8.0;2819196
Jorlan Silez;Elimir FC;LaLiga Hypermotion;21;Mediapunta;1383;19;1;1;1.51;1.33;39.0;10.0;6.0;91.4;90.0;43.0;24.0;5.0;19.0;6.0;47.8;43.8;17.0;21.0;141.0;47.0;7.0;15.0;7;0;;;;;2146589
Luntov Aros;Elimir FC;LaLiga Hypermotion;25;Pivote;1113;13;1;0;1.92;1.53;11.0;3.0;14.0;73.3;66.0;39.0;38.0;5.0;63.0;24.0;49.9;50.0;7.0;23.0;122.0;16.0;11.0;23.0;7;1;;;;;3418434
Farce Tortov;Elimir FC;LaLiga Hypermotion;21;Lateral derecho;1686;21;0;0;2.44;2.15;9.0;3.0;35.0;91.4;112.0;31.0;25.0;11.0;77.0;39.0;58.0;67.1;42.0;61.0;186.0;66.0;10.0;35.0;0;0;;;;;8460139
Henfal Jorlan;Elimir FC;LaLiga Hypermotion;25;Lateral derecho;2652;41;2;2;4.97;5.13;33.0;14.0;18.0;79.1;220.0;100.0;61.0;17.0;17.0;77.0;34.6;62.4;20.0;62.0;122.0;71.0;8.0;37.0;0;0;;;;;4838364
Quilan Morce;Elimir FC;LaLiga Hypermotion;27;MC;1198;18;0;0;2.01;2.57;18.0;6.0;22.0;67.0;60.0;20.0;12.0;19.0;39.0;52.0;40.5;48.1;6.0;30.0;74.0;41.0;5.0;9.0;9;0;;;;;2246840
Silrin Elihus;Elimir FC;LaLiga Hypermotion;23;Extremo izquierdo;2345;31;0;0;0.98;0.33;92.0;44.0;13.0;89.0;86.0;24.0;13.0;23.0;51.0;61.0;56.6;40.4;10.0;15.0;160.0;87.0;20.0;47.0;1;0;;;;;130338
Mortov Torfal;Elimir FC;LaLiga Hypermotion;22;Mediapunta;2469;29;4;2;4.24;3.31;89.0;41.0;56.0;86.9;134.0;38.0;13.0;15.0;112.0;80.0;51.9;48.9;29.0;54.0;208.0;56.0;17.0;52.0;7;0;;;;;6180416
Golfal Rostov;Elimir FC;LaLiga Hypermotion;18;MC;879;15;0;0;0.8;0.29;8.0;3.0;12.0;66.0;30.0;19.0;2.0;10.0;14.0;3.0;48.8;51.5;10.0;9.0;37.0;11.0;9.0;6.0;3;0;;;;;434219
