Player,Club,Competition,Age,Position,Minutes Played,Apps,Goals,Assists,xG,xA,Shots,Shots On Target,Key Passes,Pass Accuracy,Progressive Passes,Progressive Carries,Dribbles Completed,Accurate Crosses,Touches In Box,Aerial Duels Won,Aerials Won %,Duels Won %,Tackles Won,Interceptions,Recoveries,Clearances,Blocks,Fouls,Yellow Cards,Red Cards,Saves,Goals Conceded,Clean Sheets,High Claims,Market Value
Jornen Danba,Golmir FC,Eredivisie,28,GK,2433,35,0,0,,,,,24.0,81.1,92.0,25.0,14.0,17.0,25.0,100.0,51.8,52.0,14.0,18.0,88.0,63.0,26.0,17.0,3,0,110.0,26.0,9.0,39.0,1075020
Jorez Jorlan,Golmir FC,Eredivisie,21,GK,1668,22,0,0,,,,,29.0,73.1,62.0,60.0,11.0,17.0,36.0,64.0,31.3,44.8,18.0,39.0,154.0,41.0,9.0,10.0,5,1,91.0,16.0,5.0,9.0,8958448
Quidin Lunnen,Golmir FC,Eredivisie,24,RB,1207,15,0,0,1.64,0.88,23.0,7.0,2.0,85.5,63.0,38.0,8.0,5.0,7.0,25.0,30.5,49.6,15.0,26.0,36.0,32.0,16.0,26.0,6,0,,,,,190086
Ardin Hentov,Golmir FC,Eredivisie,23,CM,1722,24,0,0,0.61,3.91,9.0,2.0,31.0,69.8,133.0,59.0,18.0,16.0,85.0,42.0,45.9,51.5,13.0,40.0,85.0,5.0,16.0,35.0,5,0,,,,,5789661
Prarin Rosfal,Golmir FC,Eredivisie,32,RB,1203,14,0,0,0.46,1.82,5.0,1.0,10.0,90.6,66.0,7.0,6.0,6.0,54.0,47.0,32.5,43.0,30.0,33.0,63.0,32.0,5.0,16.0,9,0,,,,,3664348
Belju Lunnen,Golmir FC,Eredivisie,24,DM,2111,36,2,1,2.47,1.72,22.0,8.0,47.0,67.8,195.0,106.0,16.0,14.0,89.0,49.0,36.1,58.0,58.0,45.0,237.0,44.0,3.0,25.0,7,0,,,,,8870434
Nevpel Tordin,Golmir FC,Eredivisie,19,ST,1636,29,1,0,1.31,0.83,46.0,21.0,3.0,66.0,65.0,38.0,24.0,10.0,25.0,57.0,30.0,51.3,25.0,17.0,103.0,57.0,18.0,15.0,6,1,,,,,467145
Arce Corez,Golmir FC,Eredivisie,27,DM,1379,16,2,2,0.23,1.62,23.0,5.0,39.0,90.1,33.0,34.0,46.0,3.0,59.0,42.0,52.5,66.3,9.0,25.0,147.0,30.0,14.0,11.0,8,1,,,,,14202546
Prapel Silzar,Golmir FC,Eredivisie,21,AM,1955,33,3,2,2.85,1.9,47.0,23.0,24.0,69.5,107.0,55.0,46.0,19.0,107.0,72.0,43.4,57.0,17.0,19.0,142.0,36.0,5.0,37.0,2,1,,,,,2648093
Elilan Torju,Golmir FC,Eredivisie,31,DM,2348,36,1,3,3.55,1.57,26.0,12.0,14.0,65.9,72.0,100.0,48.0,32.0,156.0,27.0,63.7,46.3,68.0,54.0,281.0,87.0,3.0,26.0,6,0,,,,,5456670
Prafal Elisen,Golmir FC,Eredivisie,28,RB,2436,32,0,0,1.88,3.47,24.0,11.0,15.0,88.5,110.0,99.0,33.0,26.0,122.0,28.0,66.1,39.7,27.0,39.0,158.0,36.0,28.0,32.0,3,1,,,,,449080
Ostic Rosvic,Golmir FC,Eredivisie,30,DM,1447,26,0,1,1.96,0.54,11.0,5.0,20.0,79.2,67.0,81.0,13.0,23.0,40.0,55.0,51.0,59.9,24.0,37.0,111.0,34.0,14.0,34.0,2,0,,,,,6666968
Golez Faric,Golmir FC,Eredivisie,28,LW,1158,15,6,3,5.9,2.57,17.0,6.0,27.0,84.8,103.0,14.0,39.0,17.0,65.0,48.0,62.0,66.5,30.0,19.0,103.0,22.0,10.0,19.0,2,0,,,,,5291519
Morpel Pranen,Golmir FC,Eredivisie,19,CB,766,9,0,0,1.47,1.94,9.0,2.0,8.0,76.2,68.0,40.0,18.0,10.0,24.0,28.0,64.2,53.3,24.0,11.0,58.0,12.0,6.0,9.0,8,0,,,,,11653041
Hence Torhus,Golmir FC,Eredivisie,23,LW,771,10,2,2,2.47,1.21,33.0,17.0,5.0,74.9,21.0,41.0,21.0,3.0,48.0,26.0,59.7,63.5,10.0,9.0,30.0,33.0,2.0,7.0,2,0,,,,,3248895
Quikov Lungio,Golmir FC,Eredivisie,24,AM,1480,17,3,1,4.45,2.39,23.0,8.0,31.0,73.4,116.0,53.0,22.0,7.0,43.0,33.0,41.7,50.9,27.0,26.0,64.0,58.0,17.0,11.0,4,0,,,,,1768009
Cornen Ivaez,Golmir FC,Eredivisie,29,LW,2350,31,7,6,7.75,6.82,57.0,19.0,11.0,87.6,121.0,120.0,20.0,39.0,96.0,68.0,41.2,51.3,14.0,45.0,225.0,46.0,4.0,57.0,5,0,,,,,5807946
Beltov Rossen,Golmir FC,Eredivisie,23,DM,2681,36,1,0,3.97,5.16,37.0,17.0,16.0,66.6,130.0,32.0,26.0,34.0,25.0,82.0,56.9,55.0,34.0,33.0,199.0,17.0,17.0,24.0,3,0,,,,,3267896
Silic Belce,Golmir FC,Eredivisie,22,LW,1663,28,6,2,6.96,3.01,61.0,31.0,19.0,81.7,93.0,23.0,43.0,4.0,17.0,56.0,53.7,44.3,27.0,28.0,119.0,53.0,12.0,21.0,2,0,,,,,16732416
Rosfal Farhus,Golmir FC,Eredivisie,23,LW,2185,28,11,6,14.57,6.46,102.0,36.0,57.0,86.0,177.0,37.0,12.0,12.0,36.0,58.0,41.3,46.9,65.0,70.0,235.0,79.0,22.0,39.0,1,0,,,,,18544754
Henrin Kalpel,Golmir FC,Eredivisie,28,ST,1984,34,6,2,5.98,3.93,63.0,17.0,6.0,89.9,186.0,116.0,18.0,11.0,128.0,87.0,41.7,62.6,45.0,17.0,135.0,44.0,8.0,42.0,9,0,,,,,4005431
Ivadin Farvic,Golmir FC,Eredivisie,25,ST,3003,41,3,2,3.15,1.21,57.0,26.0,56.0,80.5,110.0,105.0,80.0,13.0,185.0,113.0,59.5,44.5,61.0,60.0,277.0,93.0,34.0,68.0,4,0,,,,,2159251
Ostic Kalic,Tornen FC,Eredivisie,21,GK,853,10,0,0,,,,,13.0,94.7,114.0,30.0,20.0,13.0,9.0,4.0,50.7,47.5,26.0,32.0,59.0,37.0,8.0,10.0,8,0,18.0,13.0,5.0,8.0,20328195
Corkov Ostos,Tornen FC,Eredivisie,20,GK,876,10,0,0,,,,,5.0,68.6,50.0,24.0,17.0,6.0,35.0,37.0,30.4,40.8,14.0,7.0,88.0,23.0,9.0,21.0,7,0,45.0,8.0,2.0,3.0,5322623
Quizar Kalhus,Tornen FC,Eredivisie,28,LW,2026,28,2,1,2.87,1.3,82.0,40.0,19.0,88.3,148.0,56.0,34.0,9.0,102.0,71.0,51.4,56.1,14.0,37.0,102.0,79.0,22.0,34.0,9,0,,,,,3492410
Prarin Henzar,Tornen FC,Eredivisie,28,AM,2478,28,5,3,6.06,2.74,116.0,42.0,52.0,82.9,164.0,88.0,50.0,17.0,90.0,15.0,40.5,43.6,44.0,48.0,252.0,85.0,17.0,42.0,0,0,,,,,3952010
Torzar Lungio,Tornen FC,Eredivisie,24,CB,1634,25,0,0,0.57,3.18,18.0,4.0,28.0,69.5,128.0,66.0,11.0,24.0,73.0,6.0,50.6,58.2,10.0,28.0,121.0,13.0,16.0,8.0,9,0,,,,,818353
Praju Ivaic,Tornen FC,Eredivisie,24,RB,1942,28,1,1,2.19,2.95,5.0,1.0,35.0,78.7,106.0,59.0,50.0,16.0,65.0,83.0,70.0,50.9,35.0,51.0,151.0,69.0,3.0,32.0,9,1,,,,,1291304
Torba Quihus,Tornen FC,Eredivisie,22,RB,1377,24,0,2,1.29,3.67,22.0,5.0,32.0,75.6,177.0,17.0,38.0,3.0,91.0,11.0,41.5,52.7,13.0,24.0,209.0,21.0,3.0,28.0,6,0,,,,,13789877
Henhus Kalfal,Tornen FC,Eredivisie,23,CB,2526,31,1,0,1.34,6.53,22.0,8.0,47.0,87.6,93.0,38.0,49.0,40.0,32.0,67.0,66.1,60.7,73.0,28.0,277.0,84.0,7.0,38.0,5,0,,,,,20249380
Hensen Farvic,Tornen FC,Eredivisie,22,LW,2152,28,8,4,9.67,6.08,63.0,18.0,27.0,75.3,158.0,89.0,60.0,20.0,80.0,17.0,37.8,52.8,55.0,44.0,105.0,11.0,3.0,26.0,3,0,,,,,7754116
Kalkov Elitov,Tornen FC,Eredivisie,30,AM,1056,13,1,0,1.44,0.77,41.0,21.0,10.0,67.9,69.0,22.0,12.0,8.0,25.0,37.0,39.7,40.2,14.0,14.0,72.0,31.0,14.0,18.0,9,0,,,,,588641
Kalez Corsen,Tornen FC,Eredivisie,25,CM,1069,15,0,1,1.33,0.39,18.0,5.0,21.0,92.7,106.0,48.0,4.0,2.0,57.0,28.0,61.6,54.5,19.0,28.0,142.0,29.0,11.0,10.0,9,0,,,,,9342522
Danzar Rosdin,Tornen FC,Eredivisie,17,ST,1630,19,6,2,6.25,2.74,59.0,14.0,12.0,74.3,101.0,33.0,46.0,24.0,97.0,23.0,42.3,50.9,30.0,23.0,172.0,35.0,18.0,34.0,5,0,,,,,17300263
Farce Corhus,Tornen FC,Eredivisie,23,ST,1734,27,2,1,2.72,1.36,43.0,17.0,21.0,87.1,114.0,84.0,5.0,5.0,113.0,11.0,34.6,50.5,17.0,17.0,92.0,25.0,17.0,17.0,1,0,,,,,7475783
Pratov Moric,Tornen FC,Eredivisie,24,ST,1235,22,5,1,7.01,4.39,21.0,6.0,17.0,91.3,48.0,33.0,46.0,18.0,25.0,24.0,53.1,55.5,37.0,23.0,72.0,29.0,11.0,13.0,5,0,,,,,7203097
Morrin Silfal,Tornen FC,Eredivisie,22,RB,969,10,0,1,1.29,1.13,8.0,3.0,11.0,74.2,96.0,19.0,9.0,8.0,28.0,39.0,51.2,56.5,8.0,15.0,99.0,10.0,5.0,12.0,1,0,,,,,10136177
Quirin Rosfal,Tornen FC,Eredivisie,25,AM,1208,13,1,0,1.63,1.44,43.0,16.0,11.0,71.5,73.0,16.0,31.0,17.0,54.0,16.0,33.1,63.0,9.0,28.0,115.0,6.0,6.0,20.0,2,0,,,,,827065
Golce Golnen,Tornen FC,Eredivisie,22,LW,2658,38,7,4,7.72,4.23,127.0,54.0,24.0,65.5,211.0,100.0,55.0,39.0,22.0,92.0,65.3,43.6,15.0,48.0,123.0,49.0,22.0,45.0,4,0,,,,,10178825
Rosez Toros,Tornen FC,Eredivisie,26,AM,1132,19,9,6,7.68,3.05,33.0,15.0,29.0,80.6,120.0,57.0,4.0,2.0,41.0,33.0,55.8,55.7,27.0,11.0,99.0,42.0,10.0,11.0,3,0,,,,,13073262
Kalmir Lunce,Tornen FC,Eredivisie,21,CB,1243,17,0,0,0.25,1.1,13.0,3.0,11.0,92.0,52.0,17.0,5.0,21.0,44.0,13.0,30.4,63.2,20.0,20.0,85.0,3.0,3.0,12.0,7,1,,,,,5625797
Ivagio Mornen,Tornen FC,Eredivisie,24,AM,2584,30,4,3,4.57,1.21,112.0,41.0,8.0,94.3,126.0,103.0,46.0,17.0,161.0,42.0,51.9,54.4,36.0,62.0,112.0,110.0,34.0,59.0,8,0,,,,,5809577
Nevpel Henvic,Tornen FC,Eredivisie,23,ST,2423,39,11,6,9.39,6.58,31.0,10.0,25.0,83.2,82.0,137.0,86.0,7.0,155.0,30.0,59.4,63.1,20.0,67.0,301.0,48.0,29.0,50.0,7,0,,,,,14166838
Elidin Corhus,Tornen FC,Eredivisie,26,AM,2389,34,6,3,6.07,2.89,82.0,38.0,72.0,80.5,304.0,37.0,78.0,13.0,102.0,40.0,69.6,47.2,37.0,101.0,379.0,84.0,3.0,45.0,8,0,,,,,20694049
Quimir Ostce,Rossen FC,Eredivisie,24,GK,1129,19,0,0,,,,,11.0,92.0,38.0,86.0,17.0,13.0,52.0,4.0,57.9,62.5,19.0,31.0,91.0,8.0,6.0,18.0,3,0,42.0,18.0,2.0,16.0,17397927
Jorkov Pratov,Rossen FC,Eredivisie,23,GK,1416,18,0,0,,,,,7.0,85.5,85.0,54.0,34.0,14.0,25.0,42.0,30.2,43.6,17.0,26.0,89.0,11.0,15.0,30.0,8,0,38.0,35.0,5.0,11.0,3187235
Rosez Tortov,Rossen FC,Eredivisie,28,CB,1695,27,0,3,2.05,1.42,22.0,5.0,9.0,69.6,122.0,51.0,64.0,4.0,62.0,29.0,57.4,55.8,48.0,25.0,152.0,7.0,18.0,26.0,5,0,,,,,15941161
Quice Ostsen,Rossen FC,Eredivisie,24,CB,2020,31,0,1,3.29,5.01,31.0,6.0,14.0,71.3,162.0,37.0,11.0,29.0,100.0,73.0,64.8,51.9,14.0,27.0,167.0,81.0,14.0,27.0,3,0,,,,,8952587
Lunce Henju,Rossen FC,Eredivisie,26,CB,1751,23,1,0,2.02,3.29,32.0,13.0,44.0,85.7,134.0,84.0,6.0,15.0,22.0,73.0,64.1,43.3,28.0,41.0,178.0,28.0,17.0,19.0,4,0,,,,,10418266
Kalgio Ostkov,Rossen FC,Eredivisie,23,CM,1795,23,0,0,0.67,1.48,24.0,8.0,13.0,76.7,125.0,40.0,31.0,9.0,45.0,74.0,36.3,55.3,37.0,11.0,147.0,53.0,21.0,35.0,8,0,,,,,2421914
Lunfal Coros,Rossen FC,Eredivisie,26,DM,1156,14,0,1,1.43,3.15,18.0,4.0,38.0,75.2,114.0,45.0,26.0,15.0,51.0,4.0,67.4,67.1,29.0,18.0,126.0,11.0,14.0,10.0,6,0,,,,,14256494
Corlan Jorgio,Rossen FC,Eredivisie,28,CB,1961,23,2,2,1.75,1.18,36.0,7.0,33.0,91.1,61.0,111.0,19.0,21.0,96.0,21.0,32.0,67.2,61.0,41.0,136.0,58.0,14.0,15.0,3,0,,,,,10045593
Rosez Kalfal,Rossen FC,Eredivisie,18,RB,3013,40,4,5,0.81,2.13,20.0,6.0,59.0,72.5,305.0,148.0,32.0,43.0,40.0,74.0,64.5,47.1,92.0,28.0,227.0,131.0,27.0,56.0,6,0,,,,,13315582
Ivamir Silzar,Rossen FC,Eredivisie,29,CM,1533,24,1,0,2.61,2.24,7.0,3.0,7.0,90.5,119.0,16.0,17.0,8.0,31.0,12.0,67.6,46.4,33.0,60.0,159.0,59.0,6.0,28.0,7,0,,,,,17471001
Farba Jorlan,Rossen FC,Eredivisie,31,CM,2249,35,2,2,3.44,6.12,7.0,3.0,72.0,95.1,86.0,119.0,86.0,3.0,135.0,32.0,42.0,47.8,80.0,31.0,203.0,54.0,6.0,26.0,1,1,,,,,12389707
Morrin Silba,Rossen FC,Eredivisie,17,RB,1887,21,1,0,2.06,3.96,28.0,6.0,23.0,76.2,34.0,55.0,24.0,11.0,15.0,67.0,47.7,45.7,23.0,48.0,197.0,63.0,15.0,37.0,5,1,,,,,7388772
Kalba Silzar,Rossen FC,Eredivisie,25,CB,830,10,0,0,1.17,0.42,4.0,0.0,15.0,89.8,26.0,54.0,5.0,3.0,47.0,18.0,32.6,54.1,11.0,19.0,70.0,13.0,5.0,7.0,8,0,,,,,3881558
Jorrin Ostju,Rossen FC,Eredivisie,31,AM,1459,17,2,1,2.14,1.09,65.0,25.0,18.0,90.2,76.0,43.0,25.0,5.0,55.0,23.0,62.1,56.6,31.0,41.0,172.0,17.0,12.0,9.0,0,0,,,,,8845883
Gollan Cortov,Rossen FC,Eredivisie,22,AM,2206,29,4,1,4.52,1.96,75.0,34.0,14.0,70.2,125.0,19.0,39.0,7.0,14.0,84.0,37.3,57.4,43.0,47.0,105.0,18.0,15.0,44.0,5,0,,,,,1811028
Ostez Elidin,Rossen FC,Eredivisie,29,AM,751,10,0,0,0.62,0.34,30.0,16.0,4.0,79.0,25.0,27.0,7.0,12.0,20.0,30.0,55.7,43.4,12.0,6.0,56.0,2.0,3.0,9.0,0,0,,,,,467749
Silez Ostgio,Rossen FC,Eredivisie,19,CM,173,2,0,0,0.04,0.2,3.0,1.0,1.0,91.6,5.0,2.0,5.0,0.0,10.0,4.0,41.8,59.5,3.0,4.0,13.0,2.0,1.0,1.0,0,1,,,,,7056329
Elinen Elifal,Rossen FC,Eredivisie,24,LW,2698,30,17,14,16.78,12.8,41.0,15.0,40.0,93.8,218.0,85.0,109.0,6.0,9.0,19.0,33.1,51.2,90.0,83.0,237.0,36.0,14.0,30.0,7,0,,,,,13912654
Kalnen Belhus,Rossen FC,Eredivisie,17,CB,2298,31,1,2,0.72,4.78,8.0,1.0,16.0,71.9,214.0,33.0,16.0,6.0,130.0,65.0,35.5,43.7,30.0,29.0,220.0,15.0,21.0,27.0,0,0,,,,,19718463
Jorez Arzar,Rossen FC,Eredivisie,27,RB,621,7,0,0,0.39,1.01,1.0,0.0,15.0,67.0,39.0,25.0,2.0,3.0,8.0,15.0,48.7,61.8,11.0,16.0,51.0,12.0,6.0,6.0,6,0,,,,,4215820
Corzar Elimir,Rossen FC,Eredivisie,25,AM,1647,22,3,2,3.65,1.42,64.0,28.0,27.0,93.0,38.0,43.0,35.0,22.0,94.0,16.0,65.1,65.0,25.0,54.0,189.0,10.0,15.0,37.0,2,0,,,,,6671229
Nevkov Kaltov,Rossen FC,Eredivisie,22,LW,2568,29,1,0,1.58,0.8,46.0,17.0,13.0,87.7,95.0,18.0,41.0,5.0,89.0,81.0,64.7,60.0,46.0,43.0,183.0,17.0,8.0,15.0,6,0,,,,,979119
Torba Ostzar,Ostju FC,Eredivisie,32,GK,1795,25,0,0,,,,,23.0,87.5,88.0,101.0,26.0,2.0,12.0,58.0,52.2,51.4,44.0,14.0,207.0,5.0,9.0,31.0,4,0,91.0,30.0,5.0,5.0,8097006
Dangio Prapel,Ostju FC,Eredivisie,23,GK,1993,26,0,0,,,,,35.0,86.4,120.0,89.0,46.0,4.0,7.0,47.0,63.5,52.5,44.0,33.0,92.0,80.0,14.0,43.0,4,0,110.0,41.0,6.0,9.0,7112605
Elikov Quihus,Ostju FC,Eredivisie,27,LW,1138,12,2,1,3.06,1.53,14.0,5.0,8.0,78.6,51.0,19.0,24.0,10.0,46.0,40.0,52.6,50.8,8.0,18.0,104.0,11.0,13.0,22.0,8,0,,,,,674993
Torba Ivarin,Ostju FC,Eredivisie,23,ST,1043,18,4,3,3.99,2.84,48.0,18.0,10.0,83.2,33.0,29.0,5.0,14.0,5.0,42.0,56.6,44.4,9.0,28.0,68.0,34.0,3.0,20.0,8,0,,,,,11721411
Jorgio Hennen,Ostju FC,Eredivisie,26,ST,2039,23,4,3,5.21,2.76,100.0,26.0,36.0,65.4,150.0,105.0,70.0,21.0,115.0,78.0,47.1,64.9,13.0,36.0,164.0,58.0,3.0,38.0,8,0,,,,,4997265
Corce Quirin,Ostju FC,Eredivisie,27,DM,2371,27,0,2,1.82,0.73,36.0,14.0,13.0,66.1,127.0,51.0,22.0,13.0,127.0,41.0,43.9,42.7,20.0,65.0,147.0,31.0,30.0,24.0,5,0,,,,,5300731
Arju Golgio,Ostju FC,Eredivisie,27,DM,2160,37,0,0,3.7,0.76,34.0,11.0,14.0,70.8,78.0,40.0,30.0,19.0,40.0,21.0,36.5,61.4,43.0,22.0,161.0,24.0,13.0,41.0,3,0,,,,,1667174
Belhus Ardin,Ostju FC,Eredivisie,19,AM,726,12,4,2,5.02,1.31,22.0,7.0,9.0,76.3,59.0,29.0,17.0,9.0,45.0,24.0,46.2,45.3,14.0,12.0,99.0,2.0,2.0,11.0,2,0,,,,,21675297
Argio Quidin,Ostju FC,Eredivisie,19,ST,2236,29,4,2,4.48,3.21,104.0,52.0,32.0,68.3,94.0,97.0,24.0,5.0,95.0,21.0,32.9,48.7,35.0,45.0,181.0,94.0,18.0,32.0,5,0,,,,,2026694
Jorju Farkov,Ostju FC,Eredivisie,21,AM,1330,16,6,4,6.23,3.3,36.0,9.0,8.0,71.0,111.0,33.0,32.0,11.0,23.0,43.0,36.5,50.6,22.0,50.0,92.0,48.0,7.0,11.0,6,1,,,,,16440764
Silfal Aros,Ostju FC,Eredivisie,19,LW,2025,23,2,2,3.32,2.14,93.0,35.0,18.0,70.3,123.0,96.0,57.0,3.0,57.0,68.0,51.5,57.6,29.0,13.0,107.0,14.0,23.0,21.0,8,0,,,,,9373054
Jorvic Golrin,Ostju FC,Eredivisie,23,AM,1242,17,5,2,6.32,2.83,15.0,7.0,10.0,68.9,49.0,20.0,15.0,16.0,60.0,13.0,61.8,57.5,38.0,46.0,158.0,46.0,7.0,19.0,4,0,,,,,23345926
Praba Roshus,Ostju FC,Eredivisie,24,LW,2628,29,11,7,10.74,9.05,87.0,25.0,13.0,89.1,247.0,128.0,91.0,19.0,166.0,14.0,46.0,50.6,22.0,59.0,312.0,31.0,34.0,27.0,5,0,,,,,10787909
Ivamir Kalba,Ostju FC,Eredivisie,23,CM,2063,26,0,1,4.05,1.55,21.0,9.0,39.0,76.7,59.0,37.0,42.0,27.0,41.0,60.0,58.6,62.9,47.0,61.0,161.0,77.0,8.0,25.0,8,0,,,,,6019732
Farnen Elidin,Ostju FC,Eredivisie,21,ST,1795,26,4,1,4.67,2.69,22.0,11.0,6.0,68.0,58.0,62.0,7.0,9.0,105.0,77.0,63.2,42.1,39.0,56.0,187.0,32.0,10.0,11.0,3,0,,,,,3674989
Ivarin Quivic,Ostju FC,Eredivisie,20,DM,1836,27,2,1,0.52,3.01,13.0,3.0,11.0,73.9,220.0,107.0,10.0,10.0,71.0,37.0,43.3,45.0,52.0,44.0,96.0,61.0,10.0,34.0,9,0,,,,,10225645
Pratov Cormir,Ostju FC,Eredivisie,27,AM,2251,28,7,4,7.87,5.92,72.0,29.0,43.0,79.4,53.0,78.0,7.0,27.0,121.0,86.0,45.9,60.8,18.0,37.0,228.0,31.0,22.0,31.0,7,0,,,,,3080698
